date,Positive\_Rate
2021-09-22,0.05
2021-09-23,0.048
2021-09-24,0.043
2021-09-25,0.039
2021-09-26,0.038
2021-09-27,0.034
2021-09-28,0.032
2021-09-29,0.027999999999999997
2021-09-30,0.026000000000000002
2021-10-01,0.024
2021-10-02,0.022000000000000002
2021-10-03,0.021
2021-10-04,0.019
2021-10-05,0.018000000000000002
2021-10-06,0.017
2021-10-07,0.016
2021-10-08,0.013999999999999999
2021-10-09,0.013000000000000001
2021-10-10,0.013000000000000001
2021-10-11,0.011000000000000001
2021-10-12,0.01
2021-10-13,0.009000000000000001
2021-10-14,0.008
2021-10-15,0.008
2021-10-16,0.008
2021-10-17,0.008
2021-10-18,0.008
2021-10-19,0.006999999999999999
2021-10-20,0.006999999999999999
2021-10-21,0.006
2021-10-22,0.005
2021-10-23,0.005
2021-10-24,0.005
2021-10-25,0.004
2021-10-26,0.004
2021-10-27,0.004
2021-10-28,0.004
2021-10-29,0.004
2021-10-30,0.004
2021-10-31,0.004
2021-11-01,0.004
2021-11-02,0.004
2021-11-03,0.004
2021-11-04,0.004
2021-11-05,0.004
2021-11-06,0.004
2021-11-07,0.004
2021-11-08,0.004
2021-11-09,0.004
2021-11-10,0.004
2021-11-11,0.003
2021-11-12,0.003
2021-11-13,0.003
2021-11-14,0.003
2021-11-15,0.003
2021-11-16,0.003
2021-11-17,0.003
2021-11-18,0.003
2021-11-19,0.003
2021-11-20,0.003
2021-11-21,0.003
2021-11-22,0.003
2021-11-23,0.003
2021-11-24,0.003
2021-11-25,0.003
2021-11-26,0.003
2021-11-27,0.003
2021-11-28,0.003
2021-11-29,0.003
2021-11-30,0.003
2021-12-01,0.003
2021-12-02,0.002
2021-12-03,0.003
2021-12-04,0.003
2021-12-05,0.003
2021-12-06,0.003
2021-12-07,0.003
2021-12-08,0.003
2021-12-09,0.003
2021-12-10,0.003
2021-12-11,0.009449335746467113
2021-12-12,0.009458045475184917
2021-12-13,0.009457348845899105
2021-12-14,0.009451738558709621
2021-12-15,0.009472775273025036
2021-12-16,0.009509528987109661
2021-12-17,0.009502614848315716
2021-12-18,0.009490064345300198
2021-12-19,0.009493174962699413
2021-12-20,0.00951851811259985
2021-12-21,0.009511786513030529
2021-12-22,0.009496933780610561
2021-12-23,0.009267027489840984
2021-12-24,0.009260638616979122
2021-12-25,0.009438383392989635
2021-12-26,0.009571339003741741
2021-12-27,0.009557011537253857
2021-12-28,0.009537572972476482
2021-12-29,0.009559239260852337
2021-12-30,0.009531754069030285
